time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,category,Ended_episodes,3_months_or_less,3_months_or_less_percent,more_than_3_months_6_months,more_than_3_months_6_months_percent,more_than_6_months_less_than_1_year,more_than_6_months_less_than_1_year_percent,1_year_less_than_2_years,1_year_less_than_2_years_percent,2years+,2years+_percent
2023,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,891,E10000024,Nottinghamshire,Duration of ended episode,3362,873,26,907,27,886,26.4,428,12.7,268,8
2023,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,857,E06000017,Rutland,Duration of ended episode,111,65,58.6,18,16.2,16,14.4,c,c,c,c
2023,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,941,E06000062,West Northamptonshire,Duration of ended episode,1874,797,42.5,174,9.3,297,15.8,295,15.7,311,16.6
2023,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,330,E08000025,Birmingham,Duration of ended episode,6351,2698,42.5,815,12.8,994,15.7,876,13.8,968,15.2
2023,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,331,E08000026,Coventry,Duration of ended episode,2602,942,36.2,498,19.1,583,22.4,318,12.2,261,10
2023,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,332,E08000027,Dudley,Duration of ended episode,2975,1754,59,425,14.3,378,12.7,227,7.6,191,6.4
2023,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,884,E06000019,"Herefordshire, County of",Duration of ended episode,1706,633,37.1,271,15.9,385,22.6,342,20,75,4.4
2023,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,333,E08000028,Sandwell,Duration of ended episode,3031,1787,59,402,13.3,328,10.8,240,7.9,274,9
2023,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,893,E06000051,Shropshire,Duration of ended episode,1287,678,52.7,194,15.1,191,14.8,125,9.7,99,7.7
2023,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,334,E08000029,Solihull,Duration of ended episode,1441,612,42.5,241,16.7,344,23.9,121,8.4,123,8.5
2023,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,860,E10000028,Staffordshire,Duration of ended episode,3127,953,30.5,551,17.6,657,21,516,16.5,450,14.4
2023,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,861,E06000021,Stoke-on-Trent,Duration of ended episode,2462,980,39.8,387,15.7,489,19.9,374,15.2,232,9.4
2023,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,894,E06000020,Telford and Wrekin,Duration of ended episode,1319,710,53.8,170,12.9,142,10.8,140,10.6,157,11.9
2023,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,335,E08000030,Walsall,Duration of ended episode,1282,366,28.5,167,13,356,27.8,238,18.6,155,12.1
2023,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,937,E10000031,Warwickshire,Duration of ended episode,2520,338,13.4,301,11.9,800,31.7,510,20.2,571,22.7
2023,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,336,E08000031,Wolverhampton,Duration of ended episode,2181,1050,48.1,344,15.8,357,16.4,247,11.3,183,8.4
2023,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,885,E10000034,Worcestershire,Duration of ended episode,2805,1191,42.5,472,16.8,543,19.4,358,12.8,241,8.6
2023,Reporting year,Local authority,E92000001,England,E12000006,East of England,822,E06000055,Bedford,Duration of ended episode,736,338,45.9,76,10.3,101,13.7,107,14.5,114,15.5
